N,Correct,Time (s),Space (b)
0,true,0.000217,16
1010,true,0.000033,16
2020,true,0.000036,32
3030,true,0.000033,16
4040,true,0.000022,16
5050,true,0.000016,16
6060,true,0.000019,16
7070,true,0.000013,16
8080,true,0.000011,16
9090,true,0.000010,16
10101,true,0.000008,32
11111,true,0.000025,16
12121,true,0.000030,32
13131,true,0.000019,16
14141,true,0.000018,16
15151,true,0.000012,32
16161,true,0.000030,16
17171,true,0.000020,32
18181,true,0.000021,32
19191,true,0.000028,32
20202,true,0.000022,32
21212,true,0.000021,16
22222,true,0.000042,16
23232,true,0.000017,16
24242,true,0.000039,16
25252,true,0.000056,32
26262,true,0.000016,32
27272,true,0.000024,32
28282,true,0.000026,32
29292,true,0.000025,16
30303,true,0.000026,16
31313,true,0.000024,16
32323,true,0.000044,32
33333,true,0.000020,16
34343,true,0.000020,32
35353,true,0.000029,32
36363,true,0.000019,16
37373,true,0.000022,16
38383,true,0.000029,32
39393,true,0.000018,32
40404,true,0.000023,16
41414,true,0.000031,16
42424,true,0.000019,32
43434,true,0.000022,16
44444,true,0.000026,16
45454,true,0.000029,32
46464,true,0.000023,16
47474,true,0.000020,32
48484,true,0.000021,32
49494,true,0.000021,32
50505,true,0.000020,32
51515,true,0.000022,32
52525,true,0.000029,16
53535,true,0.000039,16
54545,true,0.000031,16
55555,true,0.000024,16
56565,true,0.000024,16
57575,true,0.000023,16
58585,true,0.000033,32
59595,true,0.000026,32
60606,true,0.000033,16
61616,true,0.000027,32
62626,true,0.000032,32
63636,true,0.000028,32
64646,true,0.000018,16
65656,true,0.000017,32
66666,true,0.000035,16
67676,true,0.000034,32
68686,true,0.000025,16
69696,true,0.000023,16
70707,true,0.000023,16
71717,true,0.000030,16
72727,true,0.000024,32
73737,true,0.000023,16
74747,true,0.000036,16
75757,true,0.000023,32
76767,true,0.000020,16
77777,true,0.000024,32
78787,true,0.000023,32
79797,true,0.000018,32
80808,true,0.000028,16
81818,true,0.000020,16
82828,true,0.000048,32
83838,true,0.000022,16
84848,true,0.000030,32
85858,true,0.000021,32
86868,true,0.000024,16
87878,true,0.000020,32
88888,true,0.000033,32
89898,true,0.000019,32
90909,true,0.000037,16
91919,true,0.000019,32
92929,true,0.000019,32
93939,true,0.000025,16
94949,true,0.000033,32
95959,true,0.000028,32
96969,true,0.000023,16
97979,true,0.000030,16
98989,true,0.000035,32
100000,true,0.000019,32
